pollster,candidate,percentage
Pollster 1,Candidate 1,0.2810202356066681
Pollster 1,Candidate 2,0.0938878621919141
Pollster 1,Candidate 3,0.37817927930097245
Pollster 1,Candidate 4,0.24691262290044536
Pollster 2,Candidate 1,0.045858346620162256
Pollster 2,Candidate 2,0.4957381129542872
Pollster 2,Candidate 3,0.16059812228563877
Pollster 2,Candidate 4,0.2978054181399118
Pollster 3,Candidate 1,0.07776114776467652
Pollster 3,Candidate 2,0.09291727642479089
Pollster 3,Candidate 3,0.4736036997455438
Pollster 3,Candidate 4,0.35571787606498884
Pollster 4,Candidate 1,0.1552978389504203
Pollster 4,Candidate 2,0.19532018419249372
Pollster 4,Candidate 3,0.5822455121587689
Pollster 4,Candidate 4,0.06713646469831716
Pollster 5,Candidate 1,0.27252726882846
Pollster 5,Candidate 2,0.3958927467574142
Pollster 5,Candidate 3,0.1935688775213332
Pollster 5,Candidate 4,0.13801110689279258
Pollster 6,Candidate 1,0.5179179166656942
Pollster 6,Candidate 2,0.031887828493544414
Pollster 6,Candidate 3,0.13465950777668165
Pollster 6,Candidate 4,0.3155347470640797
Pollster 7,Candidate 1,0.331871443933308
Pollster 7,Candidate 2,0.2583223147159857
Pollster 7,Candidate 3,0.2507916880380064
Pollster 7,Candidate 4,0.1590145533126999
Pollster 8,Candidate 1,0.2519425721950437
Pollster 8,Candidate 2,0.34343158134310775
Pollster 8,Candidate 3,0.13262333518291605
Pollster 8,Candidate 4,0.2720025112789325
Pollster 9,Candidate 1,0.2076951940771043
Pollster 9,Candidate 2,0.16606616936475402
Pollster 9,Candidate 3,0.3034864364815253
Pollster 9,Candidate 4,0.32275220007661637
Pollster 10,Candidate 1,0.34563120247898493
Pollster 10,Candidate 2,0.12264599738673236
Pollster 10,Candidate 3,0.27384154414230383
Pollster 10,Candidate 4,0.25788125599197886
Pollster 11,Candidate 1,0.3303162372593678
Pollster 11,Candidate 2,0.13680413917669373
Pollster 11,Candidate 3,0.05372092375269492
Pollster 11,Candidate 4,0.47915869981124354
Pollster 12,Candidate 1,0.2814387328255255
Pollster 12,Candidate 2,0.2557438331501883
Pollster 12,Candidate 3,0.3493552299675408
Pollster 12,Candidate 4,0.1134622040567454
Pollster 13,Candidate 1,0.030257405199935302
