pollster,candidate,percentage,count
Pollster 1,Candidate 1,0.2810202356066681,145
Pollster 1,Candidate 2,0.0938878621919141,101
Pollster 1,Candidate 3,0.37817927930097245,127
Pollster 1,Candidate 4,0.24691262290044536,29
Pollster 2,Candidate 1,0.07776114776467652,33
Pollster 2,Candidate 2,0.09291727642479089,147
Pollster 2,Candidate 3,0.4736036997455438,55
Pollster 2,Candidate 4,0.35571787606498884,35
Pollster 3,Candidate 1,0.27252726882846,4
Pollster 3,Candidate 2,0.3958927467574142,101
Pollster 3,Candidate 3,0.1935688775213332,140
Pollster 3,Candidate 4,0.13801110689279258,168
Pollster 4,Candidate 1,0.2425686151349475,121
Pollster 4,Candidate 2,0.23549724119505344,193
Pollster 4,Candidate 3,0.149317104198962,151
Pollster 4,Candidate 4,0.3726170394710371,110
Pollster 5,Candidate 1,0.2468775017810603,79
Pollster 5,Candidate 2,0.2625496472693485,43
Pollster 5,Candidate 3,0.36208742263316074,128
Pollster 5,Candidate 4,0.12848542831643048,2
Pollster 6,Candidate 1,0.2513419550847921,110
Pollster 6,Candidate 2,0.23766766904324743,73
Pollster 6,Candidate 3,0.2159689964731028,48
Pollster 6,Candidate 4,0.2950213793988576,94
Pollster 7,Candidate 1,0.33563945963973946,105
Pollster 7,Candidate 2,0.03811571656937872,69
Pollster 7,Candidate 3,0.11666457339379999,191
Pollster 7,Candidate 4,0.5095802503970819,198
Pollster 8,Candidate 1,0.4371632391336675,33
Pollster 8,Candidate 2,0.10026996291386545,56
Pollster 8,Candidate 3,0.05041575948030265,8
Pollster 8,Candidate 4,0.4121510384721644,106
Pollster 9,Candidate 1,0.44521226495998867,105
Pollster 9,Candidate 2,0.13426106536833388,92
Pollster 9,Candidate 3,0.3504781392739987,11
Pollster 9,Candidate 4,0.0700485303976788,63
Pollster 10,Candidate 1,0.14742264303919636,18
Pollster 10,Candidate 2,0.07117194913821658,181
Pollster 10,Candidate 3,0.41150997648389726,62
Pollster 10,Candidate 4,0.3698954313386898,63
Pollster 11,Candidate 1,0.5752274200618808,75
Pollster 11,Candidate 2,0.31712379222352255,97
Pollster 11,Candidate 3,0.0871101871254269,139
Pollster 11,Candidate 4,0.020538600589169797,92
Pollster 12,Candidate 1,0.14740206767867928,48
Pollster 12,Candidate 2,0.3148649711061808,153
Pollster 12,Candidate 3,0.30678657192841846,136
Pollster 12,Candidate 4,0.23094638928672148,77
Pollster 13,Candidate 1,0.1855317311571916,97
Pollster 13,Candidate 2,0.28239772750629377,196
Pollster 13,Candidate 3,0.16712512392356466,59
Pollster 13,Candidate 4,0.36494541741294995,27
Pollster 14,Candidate 1,0.21499220731528182,167
Pollster 14,Candidate 2,0.4110918505895177,180
Pollster 14,Candidate 3,0.0865025566086923,19
Pollster 14,Candidate 4,0.2874133854865082,70
Pollster 15,Candidate 1,0.092758873359386207,68
Pollster 15,Candidate 2,0.2991991429604244,177
Pollster 15,Candidate 3,0.32287249916572236,41
Pollster 15,Candidate 4,0.28516948451446705,152
Pollster 16,Candidate 1,0.1152585913279443,95
Pollster 16,Candidate 2,0.4426312099259431,29
Pollster 16,Candidate 3,0.3430947754252222,30
Pollster 16,Candidate 4,0.09901542332089033,108
Pollster 17,Candidate 1,0.5958562346731139,5
Pollster 17,Candidate 2,0.05542734630117599,175
Pollster 17,Candidate 3,0.17932751569335925,10
Pollster 17,Candidate 4,0.16938890333235085,150
Pollster 18,Candidate 1,0.2805157844035431,177
Pollster 18,Candidate 2,0.19128511924065456,17
Pollster 18,Candidate 3,0.29045686848142077,43
Pollster 18,Candidate 4,0.2377422278743816,81
Pollster 19,Candidate 1,0.07121180790983664,129
Pollster 19,Candidate 2,0.07072714397281027,127
Pollster 19,Candidate 3,0.42933544709118265,150
Pollster 19,Candidate 4,0.42872560102617047,88
Pollster 20,Candidate 1,0.29015451290908245,23
Pollster 20,Candidate 2,0.24072872125759615,29
Pollster 20,Candidate 3,0.30784065240499286,71
Pollster 20,Candidate 4,0.16127611342832854,12
Pollster 21,Candidate 1,0.02235436734024752,113
Pollster 21,Candidate 2,0.48709827770434244,110
Pollster 21,Candidate 3,0.3148049381319045,64
Pollster 21,Candidate 4,0.1757424168235055,61
Pollster 22,Candidate 1,0.2276522209685756,18
Pollster 22,Candidate 2,0.1451691551433786,195
Pollster 22,Candidate 3,0.2996163759631715,181
Pollster 22,Candidate 4,0.3275622479248743,97
Pollster 23,Candidate 1,0.15379042675983026,162
Pollster 23,Candidate 2,0.19358207431516522,38
Pollster 23,Candidate 3,0.3266522396543112,3
Pollster 23,Candidate 4,0.3259752592706933,179
Pollster 24,Candidate 1,0.435214656502028,86
Pollster 24,Candidate 2,0.25823844880777264,80
Pollster 24,Candidate 3,0.25259103709826614,116
Pollster 24,Candidate 4,0.05395585759193325,147
Pollster 25,Candidate 1,0.31446436787147874,192
Pollster 25,Candidate 2,0.004384284331328518,6
Pollster 25,Candidate 3,0.3519544133946702,193
Pollster 25,Candidate 4,0.3291969344025225,83
Pollster 26,Candidate 1,0.12828647985643338,189
Pollster 26,Candidate 2,0.1508838937570546,163
Pollster 26,Candidate 3,0.006260165760613759,70
Pollster 26,Candidate 4,0.7145694606258983,122
Pollster 27,Candidate 1,0.3669795008739818,141
Pollster 27,Candidate 2,0.3390116804549041,41
Pollster 27,Candidate 3,0.23206038807604837,108
Pollster 27,Candidate 4,0.06194843059506579,53
Pollster 28,Candidate 1,0.2505527768728257,82
Pollster 28,Candidate 2,0.2594564786358766,59
Pollster 28,Candidate 3,0.31844423092105784,24
Pollster 28,Candidate 4,0.17154651357023987,50
Pollster 29,Candidate 1,0.22984419501523062,167
Pollster 29,Candidate 2,0.3231218636925882,95
Pollster 29,Candidate 3,0.09782100724989272,3
Pollster 29,Candidate 4,0.3492129340422884,183
Pollster 30,Candidate 1,0.27041300344408664,77
Pollster 30,Candidate 2,0.22615400220167528,122
Pollster 30,Candidate 3,0.2916322146389209,58
Pollster 30,Candidate 4,0.2118007797153172,119
Pollster 31,Candidate 1,0.1678607091938309,55
Pollster 31,Candidate 2,0.12804257452616338,179
Pollster 31,Candidate 3,0.2817843480497624,73
Pollster 31,Candidate 4,0.4223123682302434,132
Pollster 32,Candidate 1,0.17227843973593876,9
Pollster 32,Candidate 2,0.03981413397840917,168
Pollster 32,Candidate 3,0.5263392689555292,2
Pollster 32,Candidate 4,0.26156815733012284,183
Pollster 33,Candidate 1,0.19164270232012043,75
Pollster 33,Candidate 2,0.11636306883808968,112
Pollster 33,Candidate 3,0.2514486205808676,170
Pollster 33,Candidate 4,0.4405456082609223,12
Pollster 34,Candidate 1,0.23949846258622928,153
Pollster 34,Candidate 2,0.11058419425686822,118
Pollster 34,Candidate 3,0.30282727197429277,78
Pollster 34,Candidate 4,0.34709007118260976,98
Pollster 35,Candidate 1,0.10183652878820783,78
Pollster 35,Candidate 2,0.48148457994540766,33
Pollster 35,Candidate 3,0.0023187595877799576,117
Pollster 35,Candidate 4,0.4143601316786046,144
Pollster 36,Candidate 1,0.3700532689039533,24
Pollster 36,Candidate 2,0.151921451620524,153
Pollster 36,Candidate 3,0.19584352686846487,93
Pollster 36,Candidate 4,0.28218175260705786,109
Pollster 37,Candidate 1,0.02909281300740577,69
Pollster 37,Candidate 2,0.3144141781440469,100
Pollster 37,Candidate 3,0.29314665788269695,166
Pollster 37,Candidate 4,0.3633463509658504,117
Pollster 38,Candidate 1,0.16654588465107453,41
Pollster 38,Candidate 2,0.18346575554732597,190
Pollster 38,Candidate 3,0.021736946269903478,138
Pollster 38,Candidate 4,0.628251413531696,143
Pollster 39,Candidate 1,0.4478847940220591,8
Pollster 39,Candidate 2,0.3989179753967056,69
Pollster 39,Candidate 3,0.12855207893180942,199
Pollster 39,Candidate 4,0.02464515164942592,63
Pollster 40,Candidate 1,0.36201609314847555,92
Pollster 40,Candidate 2,0.29727562469304564,18
Pollster 40,Candidate 3,0.24757903369751166,144
Pollster 40,Candidate 4,0.09312924846096715,55
Pollster 41,Candidate 1,0.41335383104416173,182
Pollster 41,Candidate 2,0.09868935819340278,43
Pollster 41,Candidate 3,0.17947721752964824,74
Pollster 41,Candidate 4,0.30847959323278723,122
Pollster 42,Candidate 1,0.4227783581569792,16
Pollster 42,Candidate 2,0.30957596638409907,158
Pollster 42,Candidate 3,0.06637295583226442,121
Pollster 42,Candidate 4,0.2012727196266573,2
Pollster 43,Candidate 1,0.24154372936545987,147
Pollster 43,Candidate 2,0.04904050833074544,182
Pollster 43,Candidate 3,0.5177309996607965,49
Pollster 43,Candidate 4,0.19168476264299816,114
Pollster 44,Candidate 1,0.4221011321636097,137
Pollster 44,Candidate 2,0.026117828741796432,32
Pollster 44,Candidate 3,0.4485081857060675,80
Pollster 44,Candidate 4,0.10327285338852636,71
Pollster 45,Candidate 1,0.1960866223877972,164
Pollster 45,Candidate 2,0.4300883616824951,191
Pollster 45,Candidate 3,0.20443145362115694,67
Pollster 45,Candidate 4,0.16939356230855077,28
Pollster 46,Candidate 1,0.22803088225622822,148
Pollster 46,Candidate 2,0.04539977594462128,38
Pollster 46,Candidate 3,0.24603699770738868,83
Pollster 46,Candidate 4,0.4805323440917618,17
Pollster 47,Candidate 1,0.34040750586083407,45
Pollster 47,Candidate 2,0.21989746205715713,139
Pollster 47,Candidate 3,0.2432212191397623,15
Pollster 47,Candidate 4,0.1964738129422465,185
Pollster 48,Candidate 1,0.3800339330892596,123
Pollster 48,Candidate 2,0.1619898145830932,63
Pollster 48,Candidate 3,0.248496830981936,119
Pollster 48,Candidate 4,0.2094794213457112,94
Pollster 49,Candidate 1,0.0528343049666583,132
Pollster 49,Candidate 2,0.08387303551948538,93
Pollster 49,Candidate 3,0.2802795859704426,188
Pollster 49,Candidate 4,0.5830130735434137,152
Pollster 50,Candidate 1,0.3399339763998911,112
Pollster 50,Candidate 2,0.2002267693769103,12
Pollster 50,Candidate 3,0.34067232165519046,18
Pollster 50,Candidate 4,0.11916693256800817,41
Pollster 51,Candidate 1,0.3602303175873163,71
Pollster 51,Candidate 2,0.33012918304120376,49
Pollster 51,Candidate 3,0.1298115180299495,18
Pollster 51,Candidate 4,0.17982898134153047,68
Pollster 52,Candidate 1,0.18112647498114637,34
Pollster 52,Candidate 2,0.3990989657555271,13
Pollster 52,Candidate 3,0.2625603092988942,158
Pollster 52,Candidate 4,0.15721424996443237,5
Pollster 53,Candidate 1,0.4050685585666234,44
Pollster 53,Candidate 2,0.10292839875229375,175
Pollster 53,Candidate 3,0.06463002554228767,133
Pollster 53,Candidate 4,0.42737301713879516,121
Pollster 54,Candidate 1,0.23039704262746177,177
Pollster 54,Candidate 2,0.14192074495356194,180
Pollster 54,Candidate 3,0.31829314197837527,165
Pollster 54,Candidate 4,0.309389070440601,46
Pollster 55,Candidate 1,0.0398754525886533,5
Pollster 55,Candidate 2,0.28604609531381026,112
Pollster 55,Candidate 3,0.5663371405686866,64
Pollster 55,Candidate 4,0.10774131152884994,130
Pollster 56,Candidate 1,0.35091519685178374,162
Pollster 56,Candidate 2,0.04610673018371869,56
Pollster 56,Candidate 3,0.17106621476692102,189
Pollster 56,Candidate 4,0.43191185819757655,162
Pollster 57,Candidate 1,0.22693773892690944,103
Pollster 57,Candidate 2,0.38713796817221985,139
Pollster 57,Candidate 3,0.08556832267980666,136
Pollster 57,Candidate 4,0.3003559702210641,123
Pollster 58,Candidate 1,0.2706596125870752,51
Pollster 58,Candidate 2,0.27027744818163835,41
Pollster 58,Candidate 3,0.22563348567915448,168
Pollster 58,Candidate 4,0.23342945355213196,57
Pollster 59,Candidate 1,0.2854105951509667,91
Pollster 59,Candidate 2,0.39287204824606237,15
Pollster 59,Candidate 3,0.2099499819257494,185
Pollster 59,Candidate 4,0.11176737467722157,145
Pollster 60,Candidate 1,0.35868026871544484,141
Pollster 60,Candidate 2,0.24275306917046494,57
Pollster 60,Candidate 3,0.35033408077171746,122
Pollster 60,Candidate 4,0.048232581342372786,175
Pollster 61,Candidate 1,0.14915322526728397,38
Pollster 61,Candidate 2,0.29419735648471323,101
Pollster 61,Candidate 3,0.0539524796553032,146
Pollster 61,Candidate 4,0.5026969385926996,193
Pollster 62,Candidate 1,0.3952591654406815,125
Pollster 62,Candidate 2,0.24137732680046176,87
Pollster 62,Candidate 3,0.062415511428333244,139
Pollster 62,Candidate 4,0.3009479963305235,30
Pollster 63,Candidate 1,0.37887104438405633,187
Pollster 63,Candidate 2,0.3206064959304268,142
Pollster 63,Candidate 3,0.20188522973876466,94
Pollster 63,Candidate 4,0.0986372299467522,43
Pollster 64,Candidate 1,0.2432224690960131,141
Pollster 64,Candidate 2,0.24416414183601545,162
Pollster 64,Candidate 3,0.2585657775278937,113
Pollster 64,Candidate 4,0.2540476115400777,50
Pollster 65,Candidate 1,0.46280555345436225,21
Pollster 65,Candidate 2,0.04499360540442766,171
Pollster 65,Candidate 3,0.39305508085512597,82
Pollster 65,Candidate 4,0.09914576028608413,9
Pollster 66,Candidate 1,0.27400463817357373,186
Pollster 66,Candidate 2,0.0866517611719216,188
Pollster 66,Candidate 3,0.45513201887061133,80
Pollster 66,Candidate 4,0.18421158178389332,30
Pollster 67,Candidate 1,0.1921011976123986,74
Pollster 67,Candidate 2,0.4302817157467906,130
Pollster 67,Candidate 3,0.13341728923865465,76
Pollster 67,Candidate 4,0.24419979740215617,183
Pollster 68,Candidate 1,0.15669944169015954,134
Pollster 68,Candidate 2,0.2524690950875213,7
Pollster 68,Candidate 3,0.23750864136765762,186
Pollster 68,Candidate 4,0.3533228218546616,77
Pollster 69,Candidate 1,0.2957055332944517,165
Pollster 69,Candidate 2,0.42756496451215076,23
Pollster 69,Candidate 3,0.252192906518791,1
Pollster 69,Candidate 4,0.02453659567460659,97
Pollster 70,Candidate 1,0.3846159852455534,81
Pollster 70,Candidate 2,0.02448062919753181,187
Pollster 70,Candidate 3,0.1613486310198339,147
Pollster 70,Candidate 4,0.42955475453708086,96
Pollster 71,Candidate 1,0.026714719977687353,44
Pollster 71,Candidate 2,0.32034197891007676,157
Pollster 71,Candidate 3,0.18306980484000349,96
Pollster 71,Candidate 4,0.4698734962722324,77
Pollster 72,Candidate 1,0.7618655106589995,136
Pollster 72,Candidate 2,0.09376772220559469,31
Pollster 72,Candidate 3,0.09158219982882072,194
Pollster 72,Candidate 4,0.05278456730658501,120
Pollster 73,Candidate 1,0.5552810402087636,130
Pollster 73,Candidate 2,0.2775510920492207,159
Pollster 73,Candidate 3,0.13308608824774998,121
Pollster 73,Candidate 4,0.03408177949426581,138
Pollster 74,Candidate 1,0.40001344223887403,149
Pollster 74,Candidate 2,0.3931901541147219,97
Pollster 74,Candidate 3,0.19534329937737888,17
Pollster 74,Candidate 4,0.011453104269025224,159
Pollster 75,Candidate 1,0.5128370181798303,28
Pollster 75,Candidate 2,0.1953509101496744,133
Pollster 75,Candidate 3,0.27394894801838304,41
Pollster 75,Candidate 4,0.0178631236521123,149
Pollster 76,Candidate 1,0.212112631309453,184
Pollster 76,Candidate 2,0.3122685771075659,147
Pollster 76,Candidate 3,0.34442902936344494,78
Pollster 76,Candidate 4,0.13118976221953615,180
Pollster 77,Candidate 1,0.2287868694608527,39
Pollster 77,Candidate 2,0.41116483389663683,148
Pollster 77,Candidate 3,0.20387758961063646,176
Pollster 77,Candidate 4,0.15617070703187402,99
Pollster 78,Candidate 1,0.30934991431523884,166
Pollster 78,Candidate 2,0.1467701973486367,63
Pollster 78,Candidate 3,0.3342106370545096,16
Pollster 78,Candidate 4,0.20966925128161487,135
Pollster 79,Candidate 1,0.25423567990041185,94
Pollster 79,Candidate 2,0.3030882323224466,95
Pollster 79,Candidate 3,0.304234362717539,99
Pollster 79,Candidate 4,0.13844172505960256,183
Pollster 80,Candidate 1,0.1984037195354766,86
Pollster 80,Candidate 2,0.22443309860267902,48
Pollster 80,Candidate 3,0.04271082635993115,166
Pollster 80,Candidate 4,0.5344523555019133,117
Pollster 81,Candidate 1,0.17394600977740124,184
Pollster 81,Candidate 2,0.23260468222066785,35
Pollster 81,Candidate 3,0.2917376989682844,169
Pollster 81,Candidate 4,0.30171160903364647,180
Pollster 82,Candidate 1,0.13335053202587283,37
Pollster 82,Candidate 2,0.4955620805070317,135
Pollster 82,Candidate 3,0.12887493635871022,54
Pollster 82,Candidate 4,0.2422124511083852,165
Pollster 83,Candidate 1,0.16193999632868938,8
Pollster 83,Candidate 2,0.47349443946440717,176
Pollster 83,Candidate 3,0.2012532055911094,176
Pollster 83,Candidate 4,0.16331235861579402,34
Pollster 84,Candidate 1,0.24475552239523196,121
Pollster 84,Candidate 2,0.3547633209923825,52
Pollster 84,Candidate 3,0.13327991465171748,197
Pollster 84,Candidate 4,0.2672012419606681,115
Pollster 85,Candidate 1,0.11167727146823489,9
Pollster 85,Candidate 2,0.13567730686715038,147
