pollster,answer,percentage,count
1892 Polling,Biden,25,2
1892 Polling,Kennedy,12.5,1
1892 Polling,Oliver,12.5,1
1892 Polling,Stein,12.5,1
1892 Polling,Terry,12.5,1
1892 Polling,Trump,25,2
1983 Labs,Biden,25,3
1983 Labs,Kennedy,25,3
1983 Labs,Oliver,25,3
1983 Labs,Trump,25,3
3W Insights,Biden,50,3
3W Insights,Trump,50,3
ABC/Washington Post,Biden,50,9
ABC/Washington Post,DeSantis,11.11111111111111,2
ABC/Washington Post,Trump,38.88888888888889,7
ARW Strategies,Harris,50,1
ARW Strategies,Trump,50,1
Abacus Data,Biden,33.33333333333333,1
Abacus Data,Kennedy,33.33333333333333,1
Abacus Data,Trump,33.33333333333333,1
ActiVote,Biden,11.842105263157894,18
ActiVote,Haley,0.6578947368421052,1
ActiVote,Harris,35.526315789473685,54
ActiVote,Kennedy,5.263157894736842,8
ActiVote,Trump,46.71052631578947,71
Alaska Survey Research,Biden,16.666666666666664,3
Alaska Survey Research,Harris,22.22222222222222,4
Alaska Survey Research,Kennedy,22.22222222222222,4
Alaska Survey Research,Trump,38.88888888888889,7
American Pulse,Biden,12.121212121212121,4
American Pulse,Harris,15.151515151515152,5
American Pulse,Kennedy,15.151515151515152,5
American Pulse,Oliver,9.090909090909092,3
American Pulse,Scott,6.0606060606060606,2
American Pulse,Stein,9.090909090909092,3
American Pulse,Trump,27.27272727272727,9
American Pulse,West,6.0606060606060606,2
Angus Reid,Biden,9.090909090909092,1
Angus Reid,Harris,36.36363636363637,4
Angus Reid,Kennedy,9.090909090909092,1
Angus Reid,Trump,45.45454545454545,5
Arc Insights,Harris,50,1
Arc Insights,Trump,50,1
AtlasIntel,Biden,2.34375,3
AtlasIntel,Haley,0.78125,1
AtlasIntel,Harris,26.5625,34
AtlasIntel,Kennedy,7.03125,9
AtlasIntel,M. Obama,0.78125,1
AtlasIntel,Oliver,10.9375,14
AtlasIntel,Stein,12.5,16
AtlasIntel,Trump,28.90625,37
AtlasIntel,West,10.15625,13
Axis Research,Biden,20,2
Axis Research,Haley,10,1
Axis Research,Kennedy,20,2
Axis Research,Stein,20,2
Axis Research,Trump,10,1
Axis Research,West,20,2
BK Strategies,Harris,50,1
BK Strategies,Trump,50,1
Beacon/Shaw,Biden,18.7012987012987,72
Beacon/Shaw,Christie,0.2597402597402597,1
Beacon/Shaw,DeSantis,1.2987012987012987,5
Beacon/Shaw,Haley,3.3766233766233764,13
Beacon/Shaw,Harris,10.649350649350648,41
Beacon/Shaw,Kennedy,8.571428571428571,33
Beacon/Shaw,Manchin,0.5194805194805194,2
Beacon/Shaw,Newsom,0.5194805194805194,2
Beacon/Shaw,Oliver,3.3766233766233764,13
Beacon/Shaw,Pence,0.2597402597402597,1
Beacon/Shaw,Ramaswamy,0.5194805194805194,2
Beacon/Shaw,Scott,0.5194805194805194,2
Beacon/Shaw,Shapiro,1.0389610389610389,4
Beacon/Shaw,Stein,11.428571428571429,44
Beacon/Shaw,Trump,26.49350649350649,102
Beacon/Shaw,West,10.909090909090908,42
Beacon/Shaw,Whitmer,1.5584415584415585,6
Bendixen & Amandi International,Biden,16.666666666666664,2
Bendixen & Amandi International,Clinton,8.333333333333332,1
Bendixen & Amandi International,Harris,8.333333333333332,1
Bendixen & Amandi International,Newsom,8.333333333333332,1
Bendixen & Amandi International,Trump,50,6
Bendixen & Amandi International,Whitmer,8.333333333333332,1
Benenson,Biden,50,1
Benenson,Trump,50,1
Benenson Strategy Group/GS Strategy Group,Biden,12.844036697247708,14
Benenson Strategy Group/GS Strategy Group,Harris,25.688073394495415,28
Benenson Strategy Group/GS Strategy Group,Kennedy,14.678899082568808,16
Benenson Strategy Group/GS Strategy Group,Stein,5.5045871559633035,6
Benenson Strategy Group/GS Strategy Group,Trump,38.53211009174312,42
Benenson Strategy Group/GS Strategy Group,West,2.7522935779816518,3
Big Data Poll,Biden,28.368794326241137,80
Big Data Poll,DeSantis,1.773049645390071,5
Big Data Poll,Harris,3.900709219858156,11
Big Data Poll,Kennedy,15.602836879432624,44
Big Data Poll,Mapstead,2.127659574468085,6
Big Data Poll,Oliver,1.0638297872340425,3
Big Data Poll,Stein,7.801418439716312,22
Big Data Poll,Trump,30.49645390070922,86
Big Data Poll,West,8.865248226950355,25
Big Village,Biden,19.424460431654676,54
Big Village,DeSantis,5.0359712230215825,14
Big Village,Harris,12.23021582733813,34
Big Village,Kennedy,15.107913669064748,42
Big Village,Stein,6.474820143884892,18
Big Village,Trump,26.618705035971225,74
Big Village,West,15.107913669064748,42
Blueprint Polling,Biden,50,13
Blueprint Polling,DeSantis,3.8461538461538463,1
Blueprint Polling,Trump,46.15384615384615,12
Bowling Green State University/YouGov,Harris,50,1
Bowling Green State University/YouGov,Trump,50,1
Bullfinch,Biden,18.120805369127517,27
Bullfinch,Harris,14.76510067114094,22
Bullfinch,Kennedy,11.409395973154362,17
Bullfinch,McConaughey,1.342281879194631,2
Bullfinch,Oliver,2.684563758389262,4
Bullfinch,Stein,10.06711409395973,15
Bullfinch,Trump,32.88590604026846,49
Bullfinch,West,8.724832214765101,13
CNN/SSRS,Biden,23.076923076923077,30
CNN/SSRS,Buttigieg,0.7692307692307693,1
CNN/SSRS,Christie,0.7692307692307693,1
CNN/SSRS,DeSantis,3.076923076923077,4
CNN/SSRS,Haley,3.8461538461538463,5
CNN/SSRS,Harris,8.461538461538462,11
CNN/SSRS,Kennedy,6.153846153846154,8
CNN/SSRS,Newsom,0.7692307692307693,1
CNN/SSRS,Oliver,8.461538461538462,11
CNN/SSRS,Pence,0.7692307692307693,1
CNN/SSRS,Ramaswamy,0.7692307692307693,1
CNN/SSRS,Scott,0.7692307692307693,1
CNN/SSRS,Stein,9.230769230769232,12
CNN/SSRS,Trump,23.846153846153847,31
CNN/SSRS,West,8.461538461538462,11
CNN/SSRS,Whitmer,0.7692307692307693,1
CWS Research,Biden,25,2
CWS Research,DeSantis,12.5,1
CWS Research,Harris,12.5,1
CWS Research,Oliver,12.5,1
CWS Research,Stein,12.5,1
CWS Research,Trump,25,2
Capitol Weekly,Biden,7.575757575757576,5
Capitol Weekly,De la Cruz,16.666666666666664,11
Capitol Weekly,Harris,9.090909090909092,6
Capitol Weekly,Kennedy,16.666666666666664,11
Capitol Weekly,Stein,16.666666666666664,11
Capitol Weekly,Trump,16.666666666666664,11
Capitol Weekly,West,16.666666666666664,11
Causeway Solutions,Biden,50,1
Causeway Solutions,Trump,50,1
Change Research,Biden,32.83582089552239,22
Change Research,DeSantis,1.4925373134328357,1
Change Research,Harris,7.462686567164178,5
Change Research,Kennedy,5.970149253731343,4
Change Research,Manchin,4.477611940298507,3
Change Research,Trump,38.80597014925373,26
Change Research,West,8.955223880597014,6
Cherry Communications,Biden,33.33333333333333,3
Cherry Communications,DeSantis,11.11111111111111,1
Cherry Communications,Harris,11.11111111111111,1
Cherry Communications,Kennedy,11.11111111111111,1
Cherry Communications,Trump,33.33333333333333,3
Chism Strategies,Biden,50,1
Chism Strategies,Trump,50,1
Christopher Newport U.,Harris,50,1
Christopher Newport U.,Trump,50,1
Civiqs,Biden,25,7
Civiqs,Harris,14.285714285714285,4
Civiqs,Kennedy,21.428571428571427,6
Civiqs,Trump,39.285714285714285,11
Clarity,Biden,39.285714285714285,22
Clarity,DeSantis,14.285714285714285,8
Clarity,Haley,3.571428571428571,2
Clarity,Harris,10.714285714285714,6
Clarity,Trump,26.785714285714285,15
Clarity,Vance,5.357142857142857,3
"Cor Services, Inc.",Biden,50,2
"Cor Services, Inc.",DeSantis,25,1
"Cor Services, Inc.",Trump,25,1
Cor Strategies,Biden,50,2
Cor Strategies,DeSantis,25,1
Cor Strategies,Trump,25,1
Cygnal,Biden,28.703703703703702,62
Cygnal,DeSantis,4.166666666666666,9
Cygnal,Haley,0.4629629629629629,1
Cygnal,Harris,6.481481481481481,14
Cygnal,Kennedy,10.185185185185185,22
Cygnal,Manchin,0.4629629629629629,1
Cygnal,Newsom,0.9259259259259258,2
